,store,address,latitude,longitude,isReserve,review
0,스타벅스 역삼아레나빌딩점,서울특별시 강남구 언주로 425 (역삼동),37.501087,127.043069,general,262.0
1,스타벅스 논현역사거리점,서울특별시 강남구 강남대로 538 (논현동),37.510178,127.022223,general,384.0
2,스타벅스 신사역성일빌딩점,서울특별시 강남구 강남대로 584 (논현동),37.514132,127.020563,general,333.0
3,스타벅스 국기원사거리점,서울특별시 강남구 테헤란로 125 (역삼동),37.499517,127.031495,general,341.0
4,스타벅스 스탈릿대치R점,서울특별시 강남구 남부순환로 2947 (대치동),37.494668,127.062583,reserve,258.0
5,스타벅스 봉은사역점,서울특별시 강남구 봉은사로 619 (삼성동),37.515,127.063196,general,172.0
6,스타벅스 압구정윤성빌딩점,서울특별시 강남구 논현로 834 (신사동),37.5227934,127.0286009,general,137.0
7,스타벅스 코엑스별마당점,서울특별시 강남구 영동대로 513 (삼성동),37.51015,127.060275,general,306.0
8,스타벅스 삼성역섬유센터R점,서울특별시 강남구 테헤란로 518 (대치동),37.50775,127.060651,reserve,554.0
9,스타벅스 압구정R점,서울특별시 강남구 언주로 861 (신사동),37.5273669,127.033061,reserve,231.0
10,스타벅스 수서역R점,서울특별시 강남구 광평로 281 (수서동),37.488008,127.10265,reserve,402.0
11,스타벅스 양재강남빌딩R점,서울특별시 강남구 남부순환로 2621 (도곡동),37.485192,127.036685,reserve,399.0
12,스타벅스 선릉동신빌딩R점,서울특별시 강남구 테헤란로 409 (삼성동),37.505321,127.050409,reserve,560.0
13,스타벅스 봉은사로선정릉점,서울특별시 강남구 봉은사로 446 (삼성동),37.511293,127.048409,general,274.0
14,스타벅스 강남오거리점,서울특별시 강남구 봉은사로2길 39 (역삼동),37.502117,127.026672,general,535.0
15,스타벅스 스타필드코엑스몰R점,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,37.50999,127.061455,reserve,449.0
16,스타벅스 강남구청정문점,서울특별시 강남구 학동로 419 (청담동),37.518181,127.045995,general,288.0
17,스타벅스 도곡공원점,서울특별시 강남구 도곡로 205 (역삼동),37.492805,127.041309,general,229.0
18,스타벅스 강남R점,서울특별시 강남구 강남대로 390 (역삼동),37.497711,127.028439,reserve,839.0
19,스타벅스 대치은마사거리점,서울특별시 강남구 도곡로 457 (대치동),37.498973,127.060172,general,182.0
20,스타벅스 청담영동대로점,서울특별시 강남구 영동대로 720 (청담동),37.522156,127.056449,general,245.0
21,스타벅스 압구정점,서울특별시 강남구 압구정로30길 17 (신사동),37.526283,127.02956,general,
22,스타벅스 신사가로수점,서울특별시 강남구 가로수길 59 ,37.521933,127.022521,general,258.0
23,스타벅스 청담스타R점,서울특별시 강남구 도산대로57길 24 (청담동),37.525216,127.041827,reserve,342.0
24,스타벅스 강남우성점,서울특별시 강남구 강남대로 328 (역삼동),37.492396,127.03091,general,346.0
25,스타벅스 학동사거리점,서울특별시 강남구 도산대로 328 (논현동),37.52236449999999,127.03795430000002,general,419.0
26,스타벅스 대치사거리점,서울특별시 강남구 삼성로 402 (대치동),37.503331,127.058817,general,212.0
27,스타벅스 포스코사거리점,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,37.5075307,127.05742710000004,general,422.0
28,스타벅스 을지병원사거리점,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",37.5191632,127.0286446,general,276.0
29,스타벅스 신사역점,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,37.5162021,127.0207428,general,442.0
30,스타벅스 도곡역점,서울특별시 강남구 남부순환로 2909 (대치동),37.492167,127.057398,general,268.0
31,스타벅스 서울세관사거리점,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,37.514887,127.035653,general,320.0
32,스타벅스 청담사거리점,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,37.5236351,127.0468651,general,268.0
33,스타벅스 한티역점,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",37.496801,127.055055,general,379.0
