,고객,감정,리뷰
0,54.0,나쁨,"라떼 향,맛 왜이럼?? 너무싱겁소. 여기가느니 아차산까지 걸어가 빽다방을 마시는게...."
1,119.0,나쁨,"코로나로 손님이 많이 줄어든건 이해하지만, 직원들끼리 너무 잡담?이 심하더라구요 주문직전까지도 잡담, 수다를 하더라구요 그리고 케이크도 포장해왔는데 새끼손톱보다도 작은 머리카락 붙어있었어요 다시 가려면 1시간걸려 그냥 먹긴 합니다만 스벅 직원들 분위기가 영 아닙니다"
2,120.0,나쁨,여직원 나이있어 보이는 분이 불친절해서 서비스는 별로였어요
3,185.0,나쁨,마감이라 그런지 기력도 없으시고 활력도 없으시고 친절도 없으시고 있으신게 없네요 마감이라고 해도 불친절이 정당화되는건 아닌데 불쾌하네요
4,189.0,나쁨,아.늘 믿는 스벅.추운 오늘 대실망.도대체 시간이 몇시인데 캐리어가 없다니..추운데 두개 들고오느라 욕나왔음.
5,225.0,나쁨,"클라우드 초코케잌 포장 주문후 집 와서 열어보니 치즈케잌이 들어있네요. 매장과 거리가 있어 다시 갈수는 없고 전화거니 대표번호 로만 연결!! 매장에 확인 후 다시 연락준다더니 깜깜무소식. 전달이 안된건지, 전달받아놓고도 연락을 안주는건지...매장 한산했는데... .. 케잌 먹지도 못하고 연락 기다리고있습니다."
6,241.0,나쁨,자리는 넓은데 차는 절대 가져가지마세요 주차 지원 1도 안되요 주차비만 11.000원 내고 나왔네요 . 두시간도 안있었는데 무슨 주차비가 강남에서 커피 마시는거 보다 더 나오나요..
7,272.0,나쁨,스벅.맛있고 좋긴한데 불친절하게 말하는 투가 기분 별로였어요. 마스크까지 썼는데.말투가 친절하면 좋잖아요. 별 2개..
8,273.0,나쁨,커피2잔 시켰는데 커피값 9000원정도 나왔어요 주차료 7000원 나왔습니다. 새로생긴 스타벅스라 설레는 마음으로 갔는데 주차비 보고 놀랬습니다. 주차차단기까지 설치해놓고 무료주차1시간 약속시간 보통 10분전 도착하면 50분 주차만 해도 주차비지불을 하 네요...주차공간도 차가많아 주차공간도 좁았고 직원말로 똑같은 커피2잔이라도 차가 2대오면 한시간씩해서 2시간 주차등록해...
9,278.0,나쁨,주말 직원 접객이 불친절합니다.
10,338.0,보통,매장은 깨끗하나 직원들은 불친절하네요
11,353.0,나쁨,불친절해서 아쉬움..
12,375.0,나쁨,바쁘고힘든건 알겠는데 알바너무 개싸가지네요.. 스벅 굳이가는이유가 맛의편차가없어선데 아아가 맛없기도 힘들구요 아무리주말이지만 되게 짜증났음
13,420.0,나쁨,"카운터 남자직원 불친절 최강. 신제품 문의에도 퉁명스런 말투, 태도로 일관 서비스교육을 스타벅스는 진행하는지 의문.."
14,440.0,나쁨,맛이별로고 양도 적고
15,456.0,나쁨,별루예요 인적사항을적는데 왜신분증이필요하지 질모르겟어요!ㅡㅡ
16,500.0,나쁨,가양역에 스벅이 생긴건 너무 좋은데요 사람이 많이 오는 정도에 비해 앉아서 마실 자리가 적어요ㅜㅜ 2층으로 만들었어야 합니다. 마시고 가기 힘들때가 너무 많은게 단점이네요.
17,511.0,나쁨,저녁타임에 계산하는 알바ㄴ이 적립하는데 아주 인상쓰고 뭐가 되네 안되네... 매우 불친절.. 스타벅스 이미지에 똥칠하는 년
18,536.0,나쁨,"오픈이 7시인데, 6시 45분에 왔다가 주문 기다리려고 매장 안에 있었는데, 입장이 50분 부터 된다고 하면서 나갔다가 5분 뒤에 오라고 했습니다. 5분 밖에 안남았는데 계속 있으면 안되냐 얘기하려는데 직원은 자기 할 말만 하고 바로 뒤돌아 서네요. 매우 불쾌했습니다. 지금이 한겨울이었어도 5분 뒤에 들어오라고 내쫓았으려나요."
19,541.0,나쁨,늘 주문도 틀리고 실수도 잦은 이상한 점포 ㅋㅋ
20,543.0,나쁨,여기 직원 제리라는 분 cs교육을 못받은거 같네요 스타벅스 옆통로 홀이용을 못하시는데 자리 먼저확인해달라고 먼저 안내해야하는거 아닌가요? 왜 고객한테 자리 미리확인 안한걸 따지나요? 반대편 홀을 이용 못한다고 미리 안내안한건 잘한건가요?? 고객탓으로 몰고가라고 교육받은매장은 안가고싶네요
21,565.0,나쁨,넘 시끄럽고 별로... 아침에 가면 그나마 나아요.
22,609.0,나쁨,콘센트 없어서 불 편
23,625.0,나쁨,별 하나도 아깝습니다. 더운 날 시원한 음료 한잔 마시겠다고 온종일 굶은 거 스타벅스에서 갈증 해소하기 위해 긴 줄에 대기했다가 음료 시키키고 계산하려는데 잔고 부족. 뒷 사람에게 폐가 될까봐 먼저 하시라 하고 그 분 끝난 뒤에 다른 카드로 재결제하려는데 줄을 다시 서라는 직원의 어이없는 발언을 듣고 너무 황당했습니다. 오더기에 주문 기록이 남아있고 제 카...
